AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.863943982047 (0.00303707088458),0.93726 (0.00122263831301),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.482211858761 (0.0127970230018),0.364078640453 (0.0104879820292),0.242892851191 (0.00603278825622),0.209678709505 (0.00534620321032),0.123725084994 (0.00277045502054),0.087178347629 (0.00204504908724),0.0780198540948 (0.00190107813979),0.360961057238 (0.00401974273024),0.54487934563 (0.00853462881336),0.726898260579 (0.00208613002082),0.784337791442 (0.00312106097531),0.925640479731 (0.00477225108402),0.978271267164 (0.00197854193623),0.992211916712 (0.000801754840353),0.412810127119 (0.0063159641655),0.436436857581 (0.00933500576377),0.364076892859 (0.00688142562921),0.330866023942 (0.00679084426664),0.218261557707 (0.0042892291014),0.160083361622 (0.00344359580232),0.144658781535 (0.00327295522978),0.163669776917 (0.000571449464992),2.48071379662 (0.0491313361834)
0.863487652565 (0.00267562194827),0.937 (0.00112704135781),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.483677548301 (0.0130824119479),0.36361212929 (0.0107964011996),0.242361126421 (0.00644022547292),0.209006427331 (0.00513876374684),0.124083398217 (0.00300125406511),0.0871694591351 (0.00211717878224),0.0779239892965 (0.00181278092085),0.362060181531 (0.0046625823094),0.544142050567 (0.00662327925892),0.725472063789 (0.0032430851027),0.7818585818 (0.00199407390179),0.928292488602 (0.00447190099755),0.978152751602 (0.00216356003676),0.991042458092 (0.00116471658255),0.414066219309 (0.00680712664592),0.435865118976 (0.00924590679207),0.363300778417 (0.00751074698685),0.329808377081 (0.00645547643587),0.218892864513 (0.00469307400501),0.160066785546 (0.0035759996469),0.144481544058 (0.00310927165272),0.14500875473 (0.000518401853941),1.1000497818 (0.00553849755686)
0.859086595809 (0.00282578915438),0.935706666667 (0.00139799856938),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",0.474822200202 (0.0131498112234),0.358334663318 (0.0115820650742),0.238495197367 (0.00641877965834),0.205901465332 (0.00561365112569),0.123447173823 (0.00295785684131),0.0871650633248 (0.00190452051224),0.0777658323996 (0.00178897336495),0.355482687359 (0.00523659286887),0.536480405783 (0.0105843966455),0.713819811266 (0.00635636684432),0.770353533969 (0.00580678444864),0.923999005257 (0.00259005684545),0.978311719447 (0.00401663238421),0.98955872445 (0.00235538789794),0.406518017316 (0.0071901529832),0.429615427386 (0.0109473270753),0.357495605411 (0.00763868285808),0.324918727129 (0.00729278064302),0.217783596359 (0.00461304746951),0.160061548866 (0.00318997519473),0.144193823052 (0.00306477355484),0.243587398529 (0.0271487075265),8.18403706551 (0.888232323682)
0.851620731788 (0.00328461367815),0.935966666667 (0.00100509811572),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=200, random_state=None)",0.445303131246 (0.0119593900985),0.350902576345 (0.0102257226548),0.232004146728 (0.00652215219758),0.197514683857 (0.00554428118789),0.123560967841 (0.00282715468968),0.0869546152391 (0.0021095762641),0.0777155066289 (0.00185441300344),0.333323364443 (0.00306691475295),0.525409949463 (0.00643145191168),0.695123845664 (0.00533239718226),0.73892659601 (0.00671736084808),0.925452294544 (0.0053948872901),0.975963755604 (0.00353700036945),0.989145317999 (0.0019094183898),0.381206980831 (0.00561157295896),0.420719949602 (0.00871436686813),0.347858591724 (0.00781091130124),0.311680084209 (0.00728905502542),0.218000064425 (0.00437659345373),0.159675240403 (0.00356512257651),0.144102789455 (0.00318335017097),0.290335321426 (0.0509871911548),20.8889861584 (5.7036111091)
0.851374330212 (0.00338445909182),0.935893333333 (0.00104783374423),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=100, random_state=None)",0.445110450113 (0.0119376714377),0.350991190219 (0.0107611154944),0.232225801773 (0.00684182731463),0.19709841126 (0.0058412793843),0.123577327365 (0.00277585046114),0.0867328257681 (0.00200762911347),0.0776771957127 (0.00182924052662),0.333224256415 (0.00309951389713),0.525488855766 (0.00686238969725),0.695121486858 (0.00623994994292),0.73911002932 (0.00730150195682),0.925142028197 (0.00558338236902),0.976161492281 (0.00378924747269),0.989044949302 (0.00209771474924),0.38107167638 (0.00561444752356),0.420809527616 (0.00934334330822),0.348105726287 (0.00825826606457),0.311176847771 (0.00774202055891),0.218018011254 (0.00431350114587),0.159304540591 (0.00339537177244),0.144036025147 (0.00314096669711),0.195849752426 (0.045979407446),12.7491276264 (2.57475656438)
0.855925170649 (0.00365470339123),0.9351 (0.00129529061518),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=25, random_state=None)",0.466494653117 (0.0141087095109),0.354856073061 (0.0105297112745),0.233858199315 (0.00618591193443),0.20390878242 (0.00622631578272),0.122981411134 (0.0026161360503),0.0867322631671 (0.00181636616516),0.0776674668046 (0.00170562594335),0.350474742705 (0.00521924674017),0.532456135781 (0.0108682039206),0.711634052054 (0.00439881362727),0.768261943673 (0.0078081656636),0.923534316468 (0.00307837475727),0.977601805893 (0.00525492488109),0.99026606482 (0.00206770535779),0.400184572025 (0.00768531890567),0.425816962225 (0.00994886263194),0.351984547345 (0.0070535055297),0.322236971829 (0.00809435317227),0.217046895141 (0.00404682125101),0.159322926162 (0.00305585301758),0.144032473308 (0.00291671151185),0.134726381302 (0.00852491059149),4.54781179428 (0.0856552790046)
0.850595620616 (0.00315476204664),0.9357 (0.00124239911283),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=50, random_state=None)",0.444567221018 (0.0113918117039),0.348884475773 (0.00995761916893),0.228773218392 (0.00578564895826),0.196179950563 (0.00545100629832),0.12266815306 (0.00274419513509),0.0866156037363 (0.00223469311429),0.0772125175533 (0.00153182829085),0.333228288492 (0.00325544194012),0.522923655427 (0.00672879971144),0.693876250261 (0.00815018983969),0.738796613232 (0.0063118694352),0.924930442343 (0.00490610928756),0.976564944897 (0.00313819099241),0.989837914568 (0.00125093571204),0.380877269378 (0.00540356345947),0.418471748294 (0.00850941998971),0.344069764471 (0.00718921339517),0.310010128123 (0.00728025168715),0.216598149233 (0.00431425040585),0.15911037952 (0.00377465411814),0.143246723414 (0.00263074271279),0.115708732605 (0.00886076668648),7.82366962433 (0.452663090497)
0.843627664529 (0.00454737416783),0.936573333333 (0.00154594810895),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.478081279147 (0.0162842010579),0.357947350883 (0.0108987623308),0.234494250958 (0.00578925676615),0.202106385815 (0.00570740081113),0.119098726752 (0.00286123080941),0.0862361672815 (0.00233576359531),0.0774479432179 (0.00183579183796),0.357846062423 (0.00757810449205),0.535664006605 (0.00739341527351),0.701788892152 (0.00580152375484),0.755974540522 (0.00593356811395),0.890994851096 (0.00439505700953),0.967618698912 (0.00453539091964),0.984950875903 (0.00275385381805),0.409259065058 (0.0101557496441),0.429074315651 (0.00952588770749),0.351491110621 (0.00672379327105),0.318913780933 (0.00745928265949),0.210099300402 (0.00446791989298),0.158352189479 (0.00398256465357),0.14359850765 (0.00315488775916),0.133899354935 (0.00165143164933),2.56310896873 (0.0335360738123)
0.843349915051 (0.00478316087605),0.93664 (0.00128847886198),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473684210526 (0.0157262386396),0.356081306231 (0.0101828709723),0.23469421763 (0.00584672214887),0.201839754699 (0.00549868095275),0.11927204853 (0.00322672702187),0.0861561708369 (0.00229722431286),0.0774871573664 (0.00180009600288),0.354528941598 (0.0056242204243),0.53291342093 (0.00829207531289),0.702381385635 (0.00554824499138),0.75499326709 (0.00523980127887),0.892244175021 (0.00768430005645),0.966730673849 (0.00410828701255),0.985460025652 (0.00266323577879),0.405478011049 (0.0088665247742),0.426850861228 (0.00902888331936),0.351790074969 (0.00678952152324),0.318494461775 (0.00712446923729),0.210403742179 (0.00513092355782),0.158205417204 (0.00391127132522),0.143671329551 (0.00308864244982),0.134143590927 (0.00131567094617),2.55462641716 (0.0149347565193)
0.842241379939 (0.00462636520102),0.93682 (0.00140358271735),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.473950699534 (0.0142428340217),0.357747417527 (0.00890794783351),0.23392767872 (0.00628597601048),0.201413144914 (0.00582660675157),0.119177144845 (0.00294041236178),0.0861561708369 (0.00224028840508),0.0774322575585 (0.00180395312426),0.354761899913 (0.00544916312217),0.535430639161 (0.00607437366849),0.70005430543 (0.00587260094049),0.753387057554 (0.0080140381888),0.891598783351 (0.00729183240983),0.966745303706 (0.00373168077123),0.9847606748 (0.00275795883349),0.405727994371 (0.00794448354303),0.428855782513 (0.00722878570196),0.350637020659 (0.00744965095815),0.317820351243 (0.0077114035934),0.210238112241 (0.00462991587087),0.158205620963 (0.0038074612471),0.143569524888 (0.00309602581528),0.131967449188 (0.000675379088566),2.56230344772 (0.0122516712903)
0.841651120887 (0.0050777195719),0.936426666667 (0.00164538411591),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.475016655563 (0.0160170756565),0.356281239587 (0.0109576936626),0.233594400933 (0.00575365273509),0.200879882682 (0.005776364825),0.118872075195 (0.00315429971228),0.0861561708369 (0.00211063832358),0.0774630353293 (0.00177584910246),0.355532997795 (0.00635796088815),0.533166615832 (0.00753010422979),0.699109738695 (0.00719396990983),0.75139873624 (0.00826333625149),0.889260412341 (0.0069933621288),0.966784985565 (0.00431629864244),0.985169216039 (0.00311147135595),0.40662297667 (0.0093736025672),0.4270759029 (0.00963023350527),0.350144024779 (0.00676290240872),0.316979510784 (0.00765478688479),0.209698370511 (0.00499893663729),0.158206148143 (0.00357184756447),0.143626771174 (0.00304432627072),0.122273445129 (0.000389596210173),1.33400874138 (0.0516911957783)
0.841460432797 (0.00503407762367),0.936393333333 (0.00127617483999),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.469420386409 (0.0167993790939),0.355948017328 (0.0101102071638),0.233661056491 (0.00616014202996),0.201279829356 (0.00596825031379),0.118830540391 (0.00288722729488),0.0861482975053 (0.00220424631957),0.0773845916555 (0.00184832884052),0.351354577137 (0.00806544652938),0.532721550545 (0.00841646654461),0.699269861272 (0.00640058002207),0.752859237406 (0.00681643821397),0.888996473236 (0.00485832890334),0.966757474934 (0.00460702208746),0.984147275945 (0.00231347080983),0.401839342345 (0.0107339968439),0.426693755482 (0.00901136192479),0.35023901341 (0.00729563275252),0.31760739373 (0.00788010601446),0.209626411191 (0.00451814064639),0.158192546103 (0.00374449105349),0.143481071733 (0.00317808648311),0.15048699379 (0.00117501918395),0.687034988403 (0.00943109322021)
0.840691735009 (0.00506297967953),0.93672 (0.00178395316331),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.47235176549 (0.0111480349971),0.356014661779 (0.00909299988047),0.233594400933 (0.00557122444765),0.200373283562 (0.00539162136359),0.118712085861 (0.00330429514292),0.0860850628861 (0.00219457615032),0.0773930434101 (0.00191894666903),0.353617948909 (0.00482307446663),0.532829914661 (0.00616080287164),0.699109955351 (0.00575412018491),0.749507817861 (0.00420687192213),0.888036765228 (0.00750854972895),0.965962785163 (0.00426345757178),0.984228713843 (0.00346033121601),0.404393786639 (0.00581105783142),0.426776326104 (0.00746799319734),0.350144064818 (0.00641119835701),0.316180460719 (0.00694829651339),0.209415396777 (0.00526376552727),0.158075249064 (0.00372523013875),0.143496464268 (0.00331027528634),0.121506404877 (0.000872030251869),1.35360069275 (0.015134132245)
0.838770760367 (0.00498127441663),0.9364 (0.00153304345086),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.471952031979 (0.0142801809104),0.356947684105 (0.00845203004998),0.232527912015 (0.00620165398054),0.200127785326 (0.00612616601508),0.118470575054 (0.00345724058157),0.0860850628861 (0.00238387350147),0.0773146151131 (0.00180701927784),0.353279189162 (0.00634653641088),0.534239040545 (0.00499032496176),0.695856315926 (0.00404999177129),0.748542251984 (0.00599259691469),0.886209559516 (0.00772199565463),0.965906343342 (0.00439377396966),0.983263558215 (0.00304781721539),0.404025930381 (0.00847683241469),0.427898738874 (0.00650857387746),0.348537720954 (0.00725879570444),0.315788933188 (0.00809992295893),0.208988774727 (0.00552999635775),0.158074496826 (0.00407003507703),0.143351390976 (0.00310262012108),0.122139835358 (0.000573297977874),1.46958422661 (0.0105113244145)
0.838025698305 (0.00450060674767),0.936486666667 (0.00128003472175),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.470486342438 (0.0133470827109),0.354215261579 (0.00804992151639),0.232227962006 (0.0056839253934),0.199466737768 (0.00518897308008),0.118370904745 (0.00338473957902),0.0860761743922 (0.00219662720696),0.0773266820003 (0.00174840519672),0.352199875726 (0.00624397926605),0.53018164971 (0.00680477907941),0.694999781726 (0.00434186764038),0.746134683577 (0.00420933434064),0.88553451771 (0.00854042250279),0.965856649019 (0.00291908290385),0.983480488659 (0.0030286217318),0.402782496253 (0.00789740986066),0.424633518157 (0.00652226012087),0.348093249095 (0.00651732484951),0.314751558894 (0.00664477916531),0.208814906782 (0.00541317170533),0.158058847999 (0.00372667998806),0.143374435175 (0.00299346203259),0.151126003265 (0.000323228266409),0.806912326813 (0.00727032956885)
